# r Xi(r) Xi(r)-ShotNoise
# z = 1
0.000000000000000000e+00 6.960109252929687500e+02 -3.315161065116905374e+05
nan nan nan
nan nan nan
nan nan nan
nan nan nan
nan nan nan
nan nan nan
7.812500000000000000e+00 -1.099578539530436272e+00 -3.322132170155230560e+05
nan nan nan
nan nan nan
nan nan nan
4.474235076904297159e+01 -8.598594864209493233e-03 -3.322121260355783743e+05
4.555430984497070312e+01 4.244122405846913887e-02 -3.322120749957594671e+05
4.647153648963341510e+01 5.903895696004232002e-02 -3.322120583980265656e+05
4.752158355712890625e+01 1.501005291938781738e-01 -3.322119673364543123e+05
4.815948486328125000e+01 1.306770642598470145e-01 -3.322119867599192658e+05
4.941058731079101562e+01 6.865055859088897705e-02 -3.322120487864249153e+05
5.022653325398763258e+01 8.564305967754787252e-02 -3.322120317939238157e+05
5.152612495422363281e+01 2.019066810607910156e-01 -3.322119155303024454e+05
5.263948822021484375e+01 1.667932987213134877e-01 -3.322119506436847732e+05
nan nan nan
5.461512411794355160e+01 2.000024241785849366e-01 -3.322119174345593201e+05
5.544260510531339037e+01 1.696669983141350091e-01 -3.322119477699851850e+05
5.674107837677001953e+01 1.869670152664184570e-01 -3.322119304699682398e+05
5.740991592407226562e+01 1.919017632802327566e-01 -3.322119255352202454e+05
5.872323989868164062e+01 1.714396079381307059e-01 -3.322119459973755875e+05
5.949822616577148438e+01 2.060150901476542062e-01 -3.322119114218933391e+05
6.000894927978515625e+01 2.181985643174913225e-01 -3.322118992384191952e+05
6.130220958164760248e+01 1.699075471787225566e-01 -3.322119475294363219e+05
6.295777803308823195e+01 1.808639975155101054e-01 -3.322119365729860147e+05
6.356485443115234091e+01 1.599902947743733761e-01 -3.322119574466887279e+05
6.473817443847656250e+01 1.435498264100816546e-01 -3.322119738871571026e+05
6.536406707763671875e+01 2.128662268320719309e-01 -3.322119045707566547e+05
6.655341448102679180e+01 1.655282860710507453e-01 -3.322119519086974324e+05
6.734966451471501614e+01 1.522222323851152026e-01 -3.322119652147511370e+05
6.861738695417132305e+01 8.384578000931512676e-02 -3.322120335912035080e+05
6.987712097167968750e+01 8.223916590213775635e-02 -3.322120351978176041e+05
7.045096191406250341e+01 8.834863026936848329e-02 -3.322120290883532143e+05
7.134625549316406534e+01 1.453442255655924553e-01 -3.322119720927579328e+05
7.232944270542689935e+01 1.003891967591785256e-01 -3.322120170477867359e+05
7.364366040910992695e+01 9.880474635532923711e-02 -3.322120186322371592e+05
7.423320116315569805e+01 1.064116160074869838e-01 -3.322120110253674793e+05
7.561033630371093750e+01 7.383613453971014928e-02 -3.322120436008489924e+05
7.681165059407551610e+01 2.269875837696923304e-02 -3.322120947382251034e+05
7.749723968505858807e+01 3.298172156016031947e-02 -3.322120844552619383e+05
7.854279085484947132e+01 7.815067942549543123e-02 -3.322120392863040906e+05
7.967218017578125000e+01 9.038939078648884629e-02 -3.322120270475927391e+05
8.039604263305663778e+01 2.926581303278604981e-02 -3.322120881711705006e+05
8.173326061617943594e+01 3.850619254573699191e-02 -3.322120789307909436e+05
nan nan nan
8.334102020263671307e+01 -1.462611357371012416e-02 -3.322121320630970877e+05
8.450468930331143724e+01 6.391799811160925326e-02 -3.322120535189853981e+05
8.580193801153274080e+01 4.342664612664116908e-02 -3.322120740103373537e+05
8.639272199358258320e+01 2.425246011643182598e-02 -3.322120931845234009e+05
8.752074813842773438e+01 3.046970897250705218e-02 -3.322120869672745466e+05
8.870643380972055070e+01 8.281692480429625122e-03 -3.322121091552910511e+05
8.941786024305555713e+01 3.420466626131976173e-03 -3.322121140165168908e+05
9.036109670003254735e+01 -8.628879432325009882e-03 -3.322121260658629471e+05
9.150934906005859659e+01 2.563779354095458915e-02 -3.322120917991899769e+05
9.247496880425347854e+01 2.158824602762858189e-02 -3.322120958487374592e+05
9.334795673076922640e+01 2.510561545689900600e-02 -3.322120923313680687e+05
9.436096049464026692e+01 -6.849251514257386451e-03 -3.322121242862350191e+05
9.546193284254808020e+01 7.864424815544715161e-03 -3.322121095725586638e+05
9.665930175781250000e+01 -6.519099076588948279e-03 -3.322121239560825634e+05
9.753291211809430195e+01 -2.290302444071996759e-03 -3.322121197272859281e+05
9.832551422119141193e+01 -2.044631640116373675e-02 -3.322121378832999035e+05
9.927743699815538037e+01 9.887090619699453933e-04 -3.322121164482744643e+05
1.003764513455904392e+02 1.042150534116304851e-02 -3.322121070154781919e+05
1.016690239800347229e+02 -1.537152749520761044e-02 -3.322121328085110290e+05
1.025054010244516292e+02 -2.360507158132699873e-02 -3.322121410420550965e+05
1.033161510891384580e+02 -3.376704951127370343e-03 -3.322121208136884379e+05
1.044995574951171875e+02 -3.548412273327509418e-03 -3.322121209853957989e+05
1.053737165010892483e+02 7.984836896260580005e-03 -3.322121094521466293e+05
1.064406461715698242e+02 2.863521066804727063e-03 -3.322121145734624588e+05
1.074608734130859347e+02 -6.243170301119486260e-03 -3.322121236801538034e+05
1.087547999201594138e+02 1.210628570737065472e-02 -3.322121053306977847e+05
1.095632408728966283e+02 5.403678233806903826e-03 -3.322121120333052822e+05
1.106596699764854037e+02 1.857173442840576172e-02 -3.322120988652490778e+05
1.114580735426682736e+02 -2.534490059583615132e-02 -3.322121427818841184e+05
1.125437229701450832e+02 -1.661880237479058519e-04 -3.322121176031715586e+05
1.134560028076171818e+02 -3.991117477416992326e-02 -3.322121573481583036e+05
1.143835580999200943e+02 2.027489922263405343e-03 -3.322121154094935628e+05
1.153499937791090701e+02 -2.699662171877347666e-02 -3.322121444336052518e+05
1.163377885818481445e+02 2.377832432587941372e-02 -3.322120936586591997e+05
1.174887314948482810e+02 3.385680885130656556e-03 -3.322121140513026039e+05
1.184339776039123535e+02 -1.333818212151527405e-02 -3.322121307751656277e+05
1.194480581844554195e+02 5.958235731311873132e-03 -3.322121114787478000e+05
1.202912844144380955e+02 5.220042207302191296e-03 -3.322121122169413138e+05
1.215073777048211383e+02 7.751952347002531198e-03 -3.322121096850311733e+05
1.223316144943237305e+02 -1.673799380660057068e-02 -3.322121341749773128e+05
1.234509685350501087e+02 7.666743319967518795e-03 -3.322121097702402039e+05
1.244616958618164091e+02 -1.640739142894744734e-02 -3.322121338443749119e+05
1.255290271146797778e+02 1.089556030775784383e-02 -3.322121065414231853e+05
1.264409170150756836e+02 -5.999726553757985144e-03 -3.322121234367100406e+05
1.274178879681755490e+02 5.612748510697308964e-03 -3.322121118242350058e+05
1.282930268787202408e+02 -2.478992371332077588e-02 -3.322121422269071918e+05
1.294313828317742718e+02 -2.379289426301655144e-02 -3.322121412298777723e+05
1.305895677046342200e+02 -7.810906930403275529e-03 -3.322121252478904207e+05
1.316118642171223883e+02 1.758190327220492859e-03 -3.322121156787931686e+05
